ItemType,Title,Author,CopyrightDate,AccessionedDate,OwningLibrary,ReplacementPrice,MissingStatus,MissingDate,CallNumber,Barcode,Bib Marc Tag Number,Bib Marc Subfield Name,Bib Marc Subfield Data
BOOK,Winter world /,"Riddle, A. G.,",2019,11/1/19,Distribution Facility,$16.14 ,CHECKEDOUT,1/11/20,RIDD,179699913,300,a,455 pages ;
BOOK,Winter world /,"Riddle, A. G.,",2019,11/1/19,Distribution Facility,$16.14 ,CHECKEDOUT,1/11/20,RIDD,179699913,300,c,23 cm.
BOOK,Winter world /,"Riddle, A. G.,",2019,11/1/19,Distribution Facility,$16.14 ,HOLDS-OCC,2/4/20,RIDD,179699905,300,a,455 pages ;
BOOK,Winter world /,"Riddle, A. G.,",2019,11/1/19,Distribution Facility,$16.14 ,HOLDS-OCC,2/4/20,RIDD,179699905,300,c,23 cm.
BOOK,Winter world /,"Riddle, A. G.,",2019,11/1/19,Distribution Facility,$16.14 ,CHECKEDOUT,2/3/20,RIDD,179699921,300,a,455 pages ;
BOOK,Winter world /,"Riddle, A. G.,",2019,11/1/19,Distribution Facility,$16.14 ,CHECKEDOUT,2/3/20,RIDD,179699921,300,c,23 cm.
BOOK,The solar war /,"Riddle, A. G.,",2019,11/1/19,Rockrimmon Library,$9.99 ,CHECKEDOUT,1/29/20,RIDD,179699848,300,a,456 pages ;
BOOK,The solar war /,"Riddle, A. G.,",2019,11/1/19,Rockrimmon Library,$9.99 ,CHECKEDOUT,1/29/20,RIDD,179699848,300,c,23 cm.
BOOK,The solar war /,"Riddle, A. G.,",2019,11/1/19,East Library,$9.99 ,CHECKEDOUT,1/29/20,RIDD,179731047,300,a,456 pages ;
BOOK,The solar war /,"Riddle, A. G.,",2019,11/1/19,East Library,$9.99 ,CHECKEDOUT,1/29/20,RIDD,179731047,300,c,23 cm.
BOOK,The solar war /,"Riddle, A. G.,",2019,11/1/19,Mobile Libraries,$9.99 ,CHECKEDOUT,1/28/20,RIDD,179699830,300,a,456 pages ;
BOOK,The solar war /,"Riddle, A. G.,",2019,11/1/19,Mobile Libraries,$9.99 ,CHECKEDOUT,1/28/20,RIDD,179699830,300,c,23 cm.
BOOK,Anyway you can : Doctor Bosworth shares her mom's cancer journey : a beginner's guide to ketones for life /,"Bosworth, Annette,",2018,11/1/19,Distribution Facility,$15.30 ,CHECKEDOUT,2/3/20,613.283 BOSW,179731062,300,a,332 pages :
BOOK,Anyway you can : Doctor Bosworth shares her mom's cancer journey : a beginner's guide to ketones for life /,"Bosworth, Annette,",2018,11/1/19,Distribution Facility,$15.30 ,CHECKEDOUT,2/3/20,613.283 BOSW,179731062,300,c,23 cm
BOOK,Anyway you can : Doctor Bosworth shares her mom's cancer journey : a beginner's guide to ketones for life /,"Bosworth, Annette,",2018,11/1/19,Distribution Facility,$15.30 ,CHECKEDOUT,1/31/20,613.283 BOSW,179696463,300,a,332 pages :
BOOK,Anyway you can : Doctor Bosworth shares her mom's cancer journey : a beginner's guide to ketones for life /,"Bosworth, Annette,",2018,11/1/19,Distribution Facility,$15.30 ,CHECKEDOUT,1/31/20,613.283 BOSW,179696463,300,c,23 cm
