"totalcheckouts","title","author","callnumber","lastcheckoutdate","itypecode","locationcode"
"493","SPL Technology Equipment","","|aDigital Media Lab Access Keycard #1 (east)","2020-01-30 10:08:40-06",25,"ate  "
"293","SPL Lab Tech","","|aNintendo Switch w/2 Joycons GAM15","2020-01-30 19:14:53-06",55,"jlte "
"154","SPL Technology Equipment","","|aDell Latitude Laptop #1","2019-12-20 09:25:31-06",25,"ate  "
"122","SPL Technology Equipment","","|aDell Latitude Laptop #2","2019-12-20 10:01:15-06",25,"ate  "
"113","SPL Technology Equipment","","|aDell Latitude Laptop #6","2019-12-19 19:26:20-06",25,"ate  "
"107","SPL Lab Tech","","|aNintendo Switch Controller #4 - Blue/Red LAB01-D","2020-01-30 17:24:14-06",55,"jlte "
"100","SPL Technology Equipment","","|aDell Latitude Laptop #3","2019-12-20 11:30:35-06",25,"ate  "
"85","SPL Technology Equipment","","|aDell Latitude Laptop #4","2019-12-19 15:52:43-06",25,"ate  "
"73","SPL Technology Equipment","","|aDell Latitude Laptop #7","2019-12-17 17:04:49-06",25,"ate  "
"70","SPL Technology Equipment","","|aVolunteer Door Access Keycard","2020-01-29 10:19:20-06",25,"amisc"
"70","SPL Technology Equipment","","|aVolunteer Door Access Keycard","2020-01-29 14:30:05-06",25,"amisc"
"58","SPL Lab Tech","","|aNintendo Switch Controller #1 - Yellow/Yellow LAB01-A","2020-01-22 18:36:00-06",55,"jlte "
"57","SPL Technology Equipment","","|aVolunteer Door Access Keycard","2020-01-30 15:49:38-06",25,"amisc"
"52","Bratz.","","|aDVD B","2020-01-19 12:17:00-06",38,"jdvdf"
"49","SPL Technology Equipment","","|aDell Latitude Laptop #8","2019-12-17 17:29:03-06",25,"ate  "
"48","SPL Technology Equipment","","Teen PS4 Gaming Equipment","2020-01-09 16:09:02-06",25,"ate  "
"44","SPL Lab Tech","","|aNintendo Switch Controller #3 - Green/Pink LAB01-C","2020-01-27 17:49:48-06",55,"jlte "
"40","SPL Technology Equipment","","Dry erase markers and eraser #1","2019-12-17 16:44:00-06",25,"ate  "
"40","SPL Lab Tech","","|aXbox One Controller GAM04-A","2020-01-28 18:08:32-06",55,"jlte "
