TotalCheckouts,Title,CallNumber,Author,OwningLibrary,Publisher ,CopyrightDate,datelastborrowed,itype,itemcode
0,Colorado birding trail.,598.0723 C719 2019,Colorado. Parks and Wildlife.,Carnegie-Special Collections,"Colorado Parks and Wildlife,",2019,6/3/19,SC-BOOK,SCHBOOK
0,Colorado School of Mines.,378.788 C719 2016,Colorado School of Mines.,Carnegie-Special Collections,"Colorado School of Mines,",2000,6/3/19,SC-BOOK,SCHBOOK
0,"At home in Ellis County, Kansas, 1867-1992.",978.119 E472 1991 V.1,,Carnegie-Special Collections,"History Book Committee, Ellis County Historical Society,",1991,6/28/19,SC-BOOK,SCHBOOK
0,"Miami County, Kansas.",978.168 M618 1987,,Carnegie-Special Collections,"Miami County Historical Society,",1987,7/1/19,SC-BOOK,SCHBOOK
0,"Bordentown, 1682-1976 : a project of the Bordentown Area Bicentennial Committee & Bordentown Historical Society.",974.961 B728 1977,Bordentown Area Bicentennial Committee.,Carnegie-Special Collections,"The Society,",1977,7/1/19,SC-BOOK,SCHBOOK
0,Missions of love.,741.5952 MISSIONS TOYA V.17,"T?yama, Ema,",Sand Creek Library,"Kodansha Comics, an imprint of Kodansha USA Publishing, LLC.,",2019,7/1/19,BOOK,NONFIC
2,Missions of love.,741.5952 MISSIONS TOYA V.17,"T?yama, Ema,",East Library,"Kodansha Comics, an imprint of Kodansha USA Publishing, LLC.,",2019,11/30/19,BOOK,NONFIC
2,Diviner /,DAVI,"Davis, Bryan,",Cheyenne Mountain Library,"Zondervan,",2011,1/31/20,TBOOK,TEENFIC
3,Diviner /,DAVI,"Davis, Bryan,",East Library,"Zondervan,",2011,10/8/19,TBOOK,TEENFIC
2,Warrior /,DAVI,"Davis, Bryan,",East Library,"Zondervan,",2011,10/8/19,TBOOK,TEENFIC
3,Warrior /,DAVI,"Davis, Bryan,",East Library,"Zondervan,",2011,1/25/20,TBOOK,TEENFIC
1,The Black Stallion's ghost /,FARL,"Farley, Walter,",East Library,"Yearling, an imprint of Random House Children's Books,",2005,9/23/19,JBOOK,JFICTION
0,The Black Stallion's ghost /,FARL,"Farley, Walter,",Penrose Library,"Yearling, an imprint of Random House Children's Books,",2005,7/3/19,JBOOK,JFICTION
0,The Black Stallion's ghost /,FARL,"Farley, Walter,",Ute Pass Library,"Yearling, an imprint of Random House Children's Books,",2005,7/3/19,JBOOK,JFICTION
1,The Black Stallion's ghost /,FARL,"Farley, Walter,",Rockrimmon Library,"Yearling, an imprint of Random House Children's Books,",2005,1/9/20,JBOOK,JFICTION
0,Vocabulary boosters.,428.64 ROGE LVL.1,"Rogers, Susan,",Penrose Library,"Grass Roots Press,",2005,7/16/19,AB-REF,ABSTAFF
2,Vocabulary boosters.,428.64 ROGE LVL.1,"Rogers, Susan,",Penrose Library,"Grass Roots Press,",2005,2/3/20,AB-BOOK42,ADLTBASC
3,Vocabulary boosters.,428.64 ROGE LVL.1,"Rogers, Susan,",East Library,"Grass Roots Press,",2005,12/9/19,AB-BOOK42,ADLTBASC
0,Vocabulary boosters.,428.64 ROGE LVL.2,"Rogers, Susan,",Penrose Library,"Grass Roots Press,",2005,7/16/19,AB-REF,ABSTAFF
2,Vocabulary boosters.,428.64 ROGE LVL.2,"Rogers, Susan,",Sand Creek Library,"Grass Roots Press,",2005,9/18/19,AB-BOOK42,ADLTBASC
2,Vocabulary boosters.,428.64 ROGE LVL.2,"Rogers, Susan,",Library 21c,"Grass Roots Press,",2005,12/9/19,AB-BOOK42,ADLTBASC
0,Vocabulary boosters.,428.64 ROGE LVL.3,"Rogers, Susan,",Penrose Library,"Grass Roots Press,",2010,7/16/19,AB-REF,ABSTAFF
2,Vocabulary boosters.,428.64 ROGE LVL.3,"Rogers, Susan,",Library 21c,"Grass Roots Press,",2010,12/23/19,AB-BOOK42,ADLTBASC
3,Vocabulary boosters.,428.64 ROGE LVL.3,"Rogers, Susan,",Library 21c,"Grass Roots Press,",2010,1/15/20,AB-BOOK42,ADLTBASC
4,Pretty guardian Sailor Moon short stories.,741.5952 PRETTYGU TAKE V.2,"Takeuchi, Naoko.",Ruth Holley Library,"Kodansha Comics,",2013,2/3/20,BOOK,NONFIC
4,Pretty guardian Sailor Moon short stories.,741.5952 PRETTYGU TAKE V.2,"Takeuchi, Naoko.",Ruth Holley Library,"Kodansha Comics,",2013,1/27/20,BOOK,NONFIC
4,Pretty guardian Sailor Moon short stories.,741.5952 PRETTYGU TAKE V.2,"Takeuchi, Naoko.",Rockrimmon Library,"Kodansha Comics,",2013,1/2/20,BOOK,NONFIC
8,"Rescue the teacher, save the child! : educating America, one child at a time /",371 BAAC,"Baack, Paula.",Library 21c,"Baack to School Press,",2019,1/5/20,BOOK,NEW
2,"Rescue the teacher, save the child! : educating America, one child at a time /",371 BAAC,"Baack, Paula.",Rockrimmon Library,"Baack to School Press,",2019,12/3/19,BOOK,NEW
6,"Mars trilogy : a princess of Mars, the gods of Mars, the warlord of Mars /",BURR,"Burroughs, Edgar Rice,",Cheyenne Mountain Library,"Simon & Schuster Books for Young Readers,",2012,1/22/20,BOOK,SCIFI
5,"Mars trilogy : a princess of Mars, the gods of Mars, the warlord of Mars /",BURR,"Burroughs, Edgar Rice,",Ruth Holley Library,"Simon & Schuster Books for Young Readers,",2012,1/28/20,BOOK,SCIFI
5,"Mars trilogy : a princess of Mars, the gods of Mars, the warlord of Mars /",BURR,"Burroughs, Edgar Rice,",Penrose Library,"Simon & Schuster Books for Young Readers,",2012,11/29/19,BOOK,SCIFI
6,Cannabis : the illegalization of weed in America /,362.295 BROW,"Brown, Box,",East Library,"First Second,",2019,1/25/20,BOOK,NEW
6,Cannabis : the illegalization of weed in America /,362.295 BROW,"Brown, Box,",East Library,"First Second,",2019,2/1/20,BOOK,NEW
7,Cannabis : the illegalization of weed in America /,362.295 BROW,"Brown, Box,",East Library,"First Second,",2019,1/22/20,BOOK,NEW
5,Gender queer : a memoir /,306.766 KOBA,"Kobabe, Maia,",Library 21c,"Lion Forge, LLC ;",2019,1/27/20,BOOK,NONFIC
4,Gender queer : a memoir /,306.766 KOBA,"Kobabe, Maia,",Rockrimmon Library,"Lion Forge, LLC ;",2019,1/21/20,BOOK,NONFIC
5,Altar of Eden /,ROLL,"Rollins, James,",Library 21c,"William Morrow,",2010,1/20/20,BOOK,FICTION
6,Altar of Eden /,ROLL,"Rollins, James,",East Library,"William Morrow,",2010,1/10/20,BOOK,FICTION
2,Amazonia /,ROLL,"Rollins, James,",Monument Library,"Harper,",2010,1/11/20,BOOK,FICTION
5,Amazonia /,ROLL,"Rollins, James,",Penrose Library,"Harper,",2010,1/3/20,BOOK,FICTION
0,Fields of fire /,WEBB,"Webb, James,",Sand Creek Library,"Bantam Books,",2001,10/31/19,BOOK,FICTION
3,Fields of fire /,WEBB,"Webb, James,",Ute Pass Library,"Bantam Books,",2001,1/29/20,BOOK,FICTION
4,Odds against /,FRAN,"Francis, Dick.",East Library,"Armchair Detective Library,",1991,2/1/20,BOOK,MYSTERY
4,Odds against /,FRAN,"Francis, Dick.",Penrose Library,"Armchair Detective Library,",1991,1/11/20,BOOK,MYSTERY
3,Proof /,FRAN,"Francis, Dick.",Monument Library,"Berkley,",2005,10/22/19,BOOK,MYSTERY
2,Proof /,FRAN,"Francis, Dick.",Ruth Holley Library,"Berkley,",2005,1/11/20,BOOK,MYSTERY
7,The bookshop on the shore a novel /,COLG 11-DISCS,"Colgan, Jenny.",Distribution Facility,"Harper Audio,",2019,1/2/20,CDBOOK,CDBOOK
7,The bookshop on the shore a novel /,COLG 11-DISCS,"Colgan, Jenny.",Penrose Library,"Harper Audio,",2019,12/19/19,CDBOOK,CDBOOK
7,The last house guest a novel /,MIRA 8-DISCS,"Miranda, Megan.",Distribution Facility,"Simon & Schuster Audio/Audioworks,",2019,1/22/20,CDBOOK,CDBOOK
7,The last house guest a novel /,MIRA 8-DISCS,"Miranda, Megan.",Distribution Facility,"Simon & Schuster Audio/Audioworks,",2019,1/30/20,CDBOOK,CDBOOK
8,Summer of '69,HILD 12-DISCS,"Hilderbrand, Elin,",Distribution Facility,"Hachette Audio,",2019,1/2/20,CDBOOK,CDBOOK
10,Summer of '69,HILD 12-DISCS,"Hilderbrand, Elin,",Distribution Facility,"Hachette Audio,",2019,1/29/20,CDBOOK,CDBOOK
10,Summer of '69,HILD 12-DISCS,"Hilderbrand, Elin,",Distribution Facility,"Hachette Audio,",2019,1/15/20,CDBOOK,CDBOOK
5,Summer of '69,HILD 12-DISCS,"Hilderbrand, Elin,",Distribution Facility,"Hachette Audio,",2019,1/3/20,CDBOOK,CDBOOK
4,Summer of '69,HILD 12-DISCS,"Hilderbrand, Elin,",Distribution Facility,"Hachette Audio,",2019,12/20/19,CDBOOK,CDBOOK
6,Unleashed,PALM 8-DISCS,"Palmer, Diana.",East Library,"Harlequin Audio,",2019,1/18/20,CDBOOK,CDBOOK
6,Unleashed,PALM 8-DISCS,"Palmer, Diana.",East Library,Harper Collins Publishers :,2019,1/18/20,CDBOOK,CDBOOK
6,Unleashed,PALM 8-DISCS,"Palmer, Diana.",Cheyenne Mountain Library,"Harlequin Audio,",2019,1/24/20,CDBOOK,CDBOOK
6,Unleashed,PALM 8-DISCS,"Palmer, Diana.",Cheyenne Mountain Library,Harper Collins Publishers :,2019,1/24/20,CDBOOK,CDBOOK
9,L.A. woman,POP/ROCK DOOR LAWO 2-DISCS,Doors (Musical group),East Library,"Rhino,",2011,1/31/20,CDMUSIC,CD
9,L.A. woman,POP/ROCK DOOR LAWO 2-DISCS,Doors (Musical group),High Prairie Library,"Rhino,",2011,1/20/20,CDMUSIC,CD
0,"The History of Warren County, Iowa /",977.782 W287 1987,,Carnegie-Special Collections,"Curtis Media Corp.,",1987,6/27/19,SC-BOOK,SCHBOOK
0,"History of Wayne County, Pennsylvania (1798-1998) /",974.823 B233 1998,,Carnegie-Special Collections,"Wayne County Historical Society,",1998,7/1/19,SC-BOOK,SCHBOOK
0,"Preserving yesterday for tomorrow : a history of DeKalb County, Missouri, Maysville, the county seat, Camden Township, family histories : history and genealogy with related maps, documents, and photographs /",978.8153 L816 1981,,Carnegie-Special Collections,"DeKalb County Historical Society,",1981,7/1/19,SC-BOOK,SCHBOOK
0,"The History of Clay County, Tennessee.",976.849 C619 1987,,Carnegie-Special Collections,"Turner Pub. Co.,",1987,6/28/19,SC-BOOK,SCHBOOK
0,Haywood County : portrait of a mountain community : a bicentennial history /,975.694 W874 2009,,Carnegie-Special Collections,"Historical Society of Haywood County,",2009,6/28/19,SC-BOOK,SCHBOOK
0,Recall : records of Jackson County veterans.,929.377223 N753,"Noblitt, Loren W.",Carnegie-Special Collections,"Turner Pub. Co.,",2004,6/28/19,SC-BOOK,GENBOOK
0,"Family histories, Edmonson County, Kentucky, 1825-1989.",976.9752 E242 1989,,Carnegie-Special Collections,"Turner Pub. Co.,",1989,6/28/19,SC-BOOK,SCHBOOK
0,"Vinton County, Ohio history & families /",977.1837 V791 1996,Family Heritage (Firm),Carnegie-Special Collections,"Turner Pub. Co.,",1996,9/4/19,SC-BOOK,SCHBOOK
